xu,yu,xd,yd,xu_div_r0,yu_div_r0,yd_div_r0,xd_div_r0,xd_div_xu,yd_div_yu,sqr_r
-44,0,63.5,30.5,-0.6984126984126984,0.0,0.0,-0.746031746031746,1.0681818181818183,,0.5565633660871756
-44,-6,63.5,23.5,-0.6984126984126984,-0.09523809523809523,-0.1111111111111111,-0.746031746031746,1.0681818181818183,1.1666666666666667,0.5689090450995213
-44,-12,64.3,17.5,-0.6984126984126984,-0.19047619047619047,-0.20634920634920634,-0.7333333333333334,1.05,1.0833333333333333,0.5803577727387252
46,0,159.0,30.5,0.7301587301587301,0.0,0.0,0.7698412698412699,1.0543478260869565,,0.5926555807508189
46,-6,158.5,23.5,0.7301587301587301,-0.09523809523809523,-0.1111111111111111,0.7619047619047619,1.0434782608695652,1.1666666666666667,0.5928445452254976
-44,-18,64.5,11.5,-0.6984126984126984,-0.2857142857142857,-0.30158730158730157,-0.7301587301587301,1.0454545454545454,1.0555555555555556,0.6240866717057193
46,-12,158.5,17.5,0.7301587301587301,-0.19047619047619047,-0.20634920634920634,0.7619047619047619,1.0434782608695652,1.0833333333333333,0.6230788611740992
46,-18,158.5,11.5,0.7301587301587301,-0.2857142857142857,-0.30158730158730157,0.7619047619047619,1.0434782608695652,1.0555555555555556,0.6714537666918619
-50,0,58.5,30.5,-0.7936507936507936,0.0,0.0,-0.8253968253968254,1.04,,0.6812799193751574
-50,-6,58.5,23.5,-0.7936507936507936,-0.09523809523809523,-0.1111111111111111,-0.8253968253968254,1.04,1.1666666666666667,0.693625598387503
-50,-12,59.3,17.5,-0.7936507936507936,-0.19047619047619047,-0.20634920634920634,-0.8126984126984127,1.024,1.0833333333333333,0.7030587049634669
52,0,164.0,30.5,0.8253968253968254,0.0,0.0,0.8492063492063492,1.028846153846154,,0.7211514235323759
52,-6,163.5,23.5,0.8253968253968254,-0.09523809523809523,-0.1111111111111111,0.8412698412698413,1.0192307692307694,1.1666666666666667,0.7200806248425295
-50,-18,59.5,11.5,-0.7936507936507936,-0.2857142857142857,-0.30158730158730157,-0.8095238095238095,1.02,1.0555555555555556,0.746283698664651
52,-12,163.5,17.5,0.8253968253968254,-0.19047619047619047,-0.20634920634920634,0.8412698412698413,1.0192307692307694,1.0833333333333333,0.7503149407911313
52,-18,163.5,11.5,0.8253968253968254,-0.2857142857142857,-0.30158730158730157,0.8412698412698413,1.0192307692307694,1.0555555555555556,0.798689846308894
-56,0,53.5,30.5,-0.8888888888888888,0.0,0.0,-0.9047619047619048,1.017857142857143,,0.8185941043083901
-56,-6,53.5,23.5,-0.8888888888888888,-0.09523809523809523,-0.1111111111111111,-0.9047619047619048,1.017857142857143,1.1666666666666667,0.8309397833207357
-56,-12,53.5,17.5,-0.8888888888888888,-0.19047619047619047,-0.20634920634920634,-0.9047619047619048,1.017857142857143,1.0833333333333333,0.8611740992693374
58,0,169.5,30.5,0.9206349206349206,0.0,0.0,0.9365079365079365,1.017241379310345,,0.8770471151423532
58,-6,169.5,23.5,0.9206349206349206,-0.09523809523809523,-0.1111111111111111,0.9365079365079365,1.017241379310345,1.1666666666666667,0.8893927941546989
-56,-18,53.5,11.5,-0.8888888888888888,-0.2857142857142857,-0.30158730158730157,-0.9047619047619048,1.017857142857143,1.0555555555555556,0.9095490047871001
58,-12,169.5,17.5,0.9206349206349206,-0.19047619047619047,-0.20634920634920634,0.9365079365079365,1.017241379310345,1.0833333333333333,0.9196271101033006
58,-18,169.5,11.5,0.9206349206349206,-0.2857142857142857,-0.30158730158730157,0.9365079365079365,1.017241379310345,1.0555555555555556,0.9680020156210632
-62,0,48.0,30.5,-0.9841269841269841,0.0,0.0,-0.9920634920634921,1.0080645161290323,,0.9841899722852104
-62,-6,48.0,24.0,-0.9841269841269841,-0.09523809523809523,-0.10317460317460317,-0.9920634920634921,1.0080645161290323,1.0833333333333333,0.9948349710254473
